,Entreprise,Metier,Technologies,Diplome,Experience,Ville,Techlist
0,Sanofi,Data scientist,matlab/python/pyspark/scikit-learn/tensorflow,Master,1.0,Paris,"['matlab', 'python', 'pyspark', 'scikit-learn', 'tensorflow']"
1,Massachusetts General Hospital(MGH),Data architecte,python/java/scala/mongodb,Master,3.0,Marseille,"['python', 'java', 'scala', 'mongodb']"
2,UNKNOWN,Lead data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Master,3.0,Nantes,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
3,Ann & Robert H. Lurie Children’s Hospital of Chicago,Data scientist,c/c++/java/python,Master,1.5,Marseille,"['c', 'c++', 'java', 'python']"
4,UNKNOWN,Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Phd,0.0,Bordeaux,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
5,S&P Global Ratings,Lead data scientist,vba/python/excel/r,Master,6.0,Lille,"['vba', 'python', 'excel', 'r']"
6,NVIDIA,Data scientist,excel/vba/r/python/pyspark,Bachelor,0.0,Lille,"['excel', 'vba', 'r', 'python', 'pyspark']"
7,Cedars-Sinai Medical Center,Data scientist,java/c/c++/r/python,Bachelor,4.0,Toulouse,"['java', 'c', 'c++', 'r', 'python']"
8,Fibroblast,Data architecte,java/linux/docker,Bachelor,8.0,Paris,"['java', 'linux', 'docker']"
9,General Motors,Data engineer,python/java/linux/gnu,Master,3.0,Toulouse,"['python', 'java', 'linux', 'gnu']"
10,KPMG,Data engineer,hadoop/hive/sql/mariadb,Master,0.5,Bordeaux,"['hadoop', 'hive', 'sql', 'mariadb']"
11,R&D Partners,Lead data scientist,python/r/machine learning/excel/vba/c++,Master,3.0,Rouen,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
12,ERPi,Data architecte,python/spark/hive/hadoop,Phd,3.0,Bordeaux,"['python', 'spark', 'hive', 'hadoop']"
13,Ball Aerospace,Data architecte,python/aws/docker,Master,0.0,Lyon,"['python', 'aws', 'docker']"
14,Massachusetts General Hospital(MGH),Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,2.0,Paris,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
15,UNKNOWN,Data engineer,python/pyspark/spark,Master,0.0,Lyon,"['python', 'pyspark', 'spark']"
16,The Boston Consulting Group,Data architecte,c/c++/java/python,Master,0.5,Lille,"['c', 'c++', 'java', 'python']"
17,Feeding America,Data scientist,python/tensorflow/scikit-learn/deep learning/r,Phd,3.0,Toulouse,"['python', 'tensorflow', 'scikit-learn', 'deep learning', 'r']"
18,Natera,Data engineer,python/pyspark/spark,Master,3.0,Lille,"['python', 'pyspark', 'spark']"
19,Ball Aerospace,Data engineer,docker/postgresql/elasticsearch/kibana/mongodb,No diploma,3.0,Lyon,"['docker', 'postgresql', 'elasticsearch', 'kibana', 'mongodb']"
20,TrueMotion,Lead data scientist,r/machine learning/excel/vba,Master,3.5,Nantes,"['r', 'machine learning', 'excel', 'vba']"
21,McKinsey & Company,Data engineer,elasticsearch/kibana/mongodb,Master,1.0,Lille,"['elasticsearch', 'kibana', 'mongodb']"
22,UNKNOWN,Data architecte,python/spark/hive/hadoop,Phd,5.0,Lyon,"['python', 'spark', 'hive', 'hadoop']"
23,Novi Labs,Data engineer,java/hadoop/hadoop/yarn,Master,2.0,Marseille,"['java', 'hadoop', 'hadoop', 'yarn']"
24,Ginkgo Bioworks,Data scientist,python/pyspark/machine learning/microsoft azure,Phd,2.5,Lyon,"['python', 'pyspark', 'machine learning', 'microsoft azure']"
25,Ball Aerospace,Data engineer,python/pyspark/spark,No diploma,8.0,Lille,"['python', 'pyspark', 'spark']"
26,Intercontinental Exchange,Data architecte,elasticsearch/kibana/redshift,Phd,4.0,Marseille,"['elasticsearch', 'kibana', 'redshift']"
27,Voya Financial,Lead data scientist,sas/teradata/sql/r/python/machine learning/anglais,Master,4.0,Marseille,"['sas', 'teradata', 'sql', 'r', 'python', 'machine learning', 'anglais']"
28,Neuberger Berman,Data scientist,excel/python/matlab/r/machine learning/anglais,Master,7.0,Lyon,"['excel', 'python', 'matlab', 'r', 'machine learning', 'anglais']"
29,Central Intelligence Agency,Data scientist,spss/excel/sas/r/machine learning/ai/scoring,Master,1.5,Lyon,"['spss', 'excel', 'sas', 'r', 'machine learning', 'ai', 'scoring']"
30,BMO Financial Group,Data architecte,mongodb/sql/docker,Phd,3.5,Marseille,"['mongodb', 'sql', 'docker']"
31,UNKNOWN,Data engineer,python/pyspark/spark,Bachelor,1.0,Toulouse,"['python', 'pyspark', 'spark']"
32,UNKNOWN,Data engineer,linux/python/hadoop/perl/ruby,Master,0.0,Paris,"['linux', 'python', 'hadoop', 'perl', 'ruby']"
33,Ball Aerospace,Data scientist,r/python/spark/pycharm/sas/sql,Phd,0.5,Lyon,"['r', 'python', 'spark', 'pycharm', 'sas', 'sql']"
34,UNKNOWN,Data scientist,python/r/machine learning/excel/vba/c++,Master,0.5,Strasbourg,"['python', 'r', 'machine learning', 'excel', 'vba', 'c++']"
35,IHS Markit,Data architecte,java/aws/elasticsearch/kibana,Bachelor,1.5,Toulouse,"['java', 'aws', 'elasticsearch', 'kibana']"
36,Ameriprise Financial,Data architecte,hadoop/hive/vertica/tableau,Master,3.0,Lyon,"['hadoop', 'hive', 'vertica', 'tableau']"
37,UNKNOWN,Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Phd,1.5,Grenoble,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
38,UNKNOWN,Data scientist,sql/r/python/big data,Master,5.0,Paris,"['sql', 'r', 'python', 'big data']"
39,Displayr,Data engineer,spark/python/scala,Master,3.0,Paris,"['spark', 'python', 'scala']"
40,Intercontinental Exchange,Data scientist,matlab/c/c++/python/scikit-learn,Master,1.5,Paris,"['matlab', 'c', 'c++', 'python', 'scikit-learn']"
41,"Moderna Therapeutics, Inc",Data scientist,spss/sql/teradata/r/python/tensorflow/scikit-learn,Phd,6.0,Rouen,"['spss', 'sql', 'teradata', 'r', 'python', 'tensorflow', 'scikit-learn']"
42,Apple,Data scientist,python/tensorflow/r/big data,Master,0.5,Lyon,"['python', 'tensorflow', 'r', 'big data']"
43,Amazon.com,Data scientist,r/machine learning/excel/vba,Phd,0.5,Lyon,"['r', 'machine learning', 'excel', 'vba']"
44,R&D Partners,Data scientist,matlab/python/c++/numpy/tensorflow/scikit-learn,Master,0.0,Bordeaux,"['matlab', 'python', 'c++', 'numpy', 'tensorflow', 'scikit-learn']"
45,Civis Analytics,Data engineer,elasticsearch/kibana/mongodb,Master,2.0,Toulouse,"['elasticsearch', 'kibana', 'mongodb']"
